Vehicle_Type_ID,Vehicle_Type,Body_Class_ID,Body_Class,LX_BodyClass_lvl1,LX_BodyClass_lvl2,Incomplete_Chassis
1,MOTORCYCLE,6,MOTORCYCLE - STANDARD,MOTORCYCLE,MOTORCYCLE,FALSE
1,MOTORCYCLE,80,MOTORCYCLE - SPORT,MOTORCYCLE,MOTORCYCLE,FALSE
1,MOTORCYCLE,81,MOTORCYCLE - TOURING / SPORT TOURING,MOTORCYCLE,MOTORCYCLE,FALSE
1,MOTORCYCLE,82,MOTORCYCLE - CRUISER,MOTORCYCLE,MOTORCYCLE,FALSE
1,MOTORCYCLE,83,MOTORCYCLE - TRIKE,MOTORCYCLE,MOTORCYCLE,FALSE
1,MOTORCYCLE,85,MOTORCYCLE - DUAL SPORT / ADVENTURE / SUPERMOTO / ON/OFF-ROAD,MOTORCYCLE,MOTORCYCLE,FALSE
1,MOTORCYCLE,86,MOTORCYCLE - ENDURO (OFF-ROAD LONG DISTANCE RACING),MOTORCYCLE,MOTORCYCLE,FALSE
1,MOTORCYCLE,94,MOTORCYCLE - CUSTOM,MOTORCYCLE,MOTORCYCLE,FALSE
1,MOTORCYCLE,98,MOTORCYCLE - STREET,MOTORCYCLE,MOTORCYCLE,FALSE
1,MOTORCYCLE,,,MOTORCYCLE,MOTORCYCLE,FALSE
2,PASSENGER CAR,7,SPORT UTILITY VEHICLE (SUV)/MULTI PURPOSE VEHICLE (MPV),SUV,SUV,FALSE
2,PASSENGER CAR,8,CROSSOVER UTILITY VEHICLE (CUV),SUV,CUV,FALSE
2,PASSENGER CAR,2,MINIVAN,VAN,VAN,FALSE
2,PASSENGER CAR,9,VAN,VAN,VAN,FALSE
2,PASSENGER CAR,60,PICKUP,PICKUP,PICKUP,FALSE
2,PASSENGER CAR,1,CABRIOLET/CONVERTIBLE,PASSENGER CAR,CONVERTIBLE,FALSE
2,PASSENGER CAR,3,COUPE,PASSENGER CAR,COUPE,FALSE
2,PASSENGER CAR,5,HATCHBACK/LIFTBACK/NOTCHBACK,PASSENGER CAR,HATCHBACK,FALSE
2,PASSENGER CAR,10,ROADSTER,PASSENGER CAR,ROADSTER,FALSE
2,PASSENGER CAR,13,SEDAN/SALOON,PASSENGER CAR,SEDAN,FALSE
2,PASSENGER CAR,15,WAGON,PASSENGER CAR,WAGON,FALSE
2,PASSENGER CAR,,,PASSENGER CAR,PASSENGER CAR,FALSE
3,TRUCK,7,SPORT UTILITY VEHICLE (SUV)/MULTI PURPOSE VEHICLE (MPV),SUV,SUV,FALSE
3,TRUCK,15,WAGON,SUV,SUV,FALSE
3,TRUCK,2,MINIVAN,VAN,VAN,FALSE
3,TRUCK,9,VAN,VAN,VAN,FALSE
3,TRUCK,11,TRUCK,PICKUP,PICKUP,FALSE
3,TRUCK,60,PICKUP,PICKUP,PICKUP,FALSE
3,TRUCK,62,INCOMPLETE - CUTAWAY,PICKUP,PICKUP,TRUE
3,TRUCK,63,INCOMPLETE - CHASSIS CAB (SINGLE CAB),PICKUP,PICKUP,TRUE
3,TRUCK,65,INCOMPLETE,PICKUP,PICKUP,TRUE
3,TRUCK,76,INCOMPLETE - MOTOR COACH CHASSIS,PICKUP,PICKUP,TRUE
3,TRUCK,78,INCOMPLETE - MOTOR HOME CHASSIS,PICKUP,PICKUP,TRUE
3,TRUCK,,,PICKUP,PICKUP,FALSE
3,TRUCK,95,CARGO VAN,UTILITY,UTILITY,FALSE
3,TRUCK,111,STEP VAN,UTILITY,UTILITY,FALSE
5,BUS,9,VAN,BUS,BUS,FALSE
5,BUS,15,WAGON,BUS,BUS,FALSE
5,BUS,16,BUS,BUS,BUS,FALSE
5,BUS,60,PICKUP,BUS,BUS,FALSE
6,TRAILER,9,VAN,UTILITY,UTILITY,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),1,CABRIOLET/CONVERTIBLE,SUV,CUV,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),3,COUPE,SUV,CUV,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),5,HATCHBACK/LIFTBACK/NOTCHBACK,SUV,CUV,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),7,SPORT UTILITY VEHICLE (SUV)/MULTI PURPOSE VEHICLE (MPV),SUV,SUV,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),8,CROSSOVER UTILITY VEHICLE (CUV),SUV,CUV,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),11,TRUCK,SUV,SUV,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),13,SEDAN/SALOON,SUV,CUV,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),15,WAGON,SUV,CUV,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,SUV,SUV,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),2,MINIVAN,VAN,VAN,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),9,VAN,VAN,VAN,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),16,BUS,VAN,VAN,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),62,INCOMPLETE - CUTAWAY,VAN,VAN,TRUE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),95,CARGO VAN,VAN,VAN,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),118,EXTENDED WAGON,VAN,VAN,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),60,PICKUP,PICKUP,PICKUP,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),74,INCOMPLETE - CHASSIS CAB (NUMBER OF CAB UNKNOWN),PICKUP,PICKUP,TRUE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),119,SPORT UTILITY TRUCK,PICKUP,PICKUP,FALSE
7,MULTIPURPOSE PASSENGER VEHICLE (MPV),65,INCOMPLETE,INCOMPLETE VEHICLE,INCOMPLETE VEHICLE,TRUE
10,INCOMPLETE VEHICLE,7,SPORT UTILITY VEHICLE (SUV)/MULTI PURPOSE VEHICLE (MPV),SUV,SUV,TRUE
10,INCOMPLETE VEHICLE,8,CROSSOVER UTILITY VEHICLE (CUV),SUV,CUV,TRUE
10,INCOMPLETE VEHICLE,2,MINIVAN,VAN,VAN,TRUE
10,INCOMPLETE VEHICLE,9,VAN,VAN,VAN,TRUE
10,INCOMPLETE VEHICLE,62,INCOMPLETE - CUTAWAY,VAN,VAN,TRUE
10,INCOMPLETE VEHICLE,95,CARGO VAN,VAN,VAN,TRUE
10,INCOMPLETE VEHICLE,118,EXTENDED WAGON,VAN,VAN,TRUE
10,INCOMPLETE VEHICLE,13,SEDAN/SALOON,SEDAN,SEDAN,TRUE
10,INCOMPLETE VEHICLE,15,WAGON,WAGON,WAGON,TRUE
10,INCOMPLETE VEHICLE,11,TRUCK,PICKUP,PICKUP,TRUE
10,INCOMPLETE VEHICLE,60,PICKUP,PICKUP,PICKUP,TRUE
10,INCOMPLETE VEHICLE,63,INCOMPLETE - CHASSIS CAB (SINGLE CAB),PICKUP,PICKUP,TRUE
10,INCOMPLETE VEHICLE,70,INCOMPLETE - CHASSIS CAB (DOUBLE CAB),PICKUP,PICKUP,TRUE
10,INCOMPLETE VEHICLE,74,INCOMPLETE - CHASSIS CAB (NUMBER OF CAB UNKNOWN),PICKUP,PICKUP,TRUE
10,INCOMPLETE VEHICLE,66,TRUCK - TRACTOR,SPECIAL,SPECIAL,TRUE
10,INCOMPLETE VEHICLE,67,INCOMPLETE - STRIPPED CHASSIS,SPECIAL,SPECIAL,TRUE
10,INCOMPLETE VEHICLE,76,INCOMPLETE - MOTOR COACH CHASSIS,SPECIAL,SPECIAL,TRUE
10,INCOMPLETE VEHICLE,78,INCOMPLETE - MOTOR HOME CHASSIS,SPECIAL,SPECIAL,TRUE
10,INCOMPLETE VEHICLE,112,INCOMPLETE - COMMERCIAL CHASSIS,UTILITY,UTILITY,TRUE
10,INCOMPLETE VEHICLE,1,CABRIOLET/CONVERTIBLE,PASSENGER CAR,CONVERTIBLE,TRUE
